Time,Ic
0.00285,1.32e-06
0.0028502,1.38e-06
0.0028504,1.5e-06
0.0028506,1.68e-06
0.0028508,1.8e-06
0.002851,1.86e-06
0.0028512,1.86e-06
0.0028514,1.86e-06
0.0028516,1.8e-06
0.0028518,1.92e-06
0.002852,2.04e-06
0.0028522,1.98e-06
0.0028524,2.04e-06
0.0028526,2.04e-06
0.0028528,2.04e-06
0.002853,2.04e-06
0.0028532,1.92e-06
0.0028534,1.86e-06
0.0028536,1.8e-06
0.0028538,1.74e-06
0.002854,1.74e-06
0.0028542,1.86e-06
0.0028544,1.56e-06
0.0028546,1.68e-06
0.0028548,1.56e-06
0.002855,1.56e-06
0.0028552,1.38e-06
0.0028554,1.32e-06
0.0028556,1.32e-06
0.0028558,1.26e-06
0.002856,1.2e-06
0.0028562,1.14e-06
0.0028564,1.14e-06
0.0028566,1.08e-06
0.0028568,1.02e-06
0.002857,1.02e-06
0.0028572,9.6e-07
0.0028574,9.6e-07
0.0028576,9.0e-07
0.0028578,9.0e-07
0.002858,1.02e-06
0.0028582,1.2e-06
0.0028584,1.2e-06
0.0028586,1.2e-06
0.0028588,1.38e-06
0.002859,1.44e-06
0.0028592,1.56e-06
0.0028594,1.68e-06
0.0028596,1.74e-06
0.0028598,1.86e-06
0.00286,1.86e-06
0.0028602,1.92e-06
0.0028604,1.98e-06
0.0028606,1.98e-06
0.0028608,2.1e-06
0.002861,2.1e-06
0.0028612,2.1e-06
0.0028614,2.1e-06
0.0028616,2.1e-06
0.0028618,2.1e-06
0.002862,2.04e-06
0.0028622,2.04e-06
0.0028624,1.92e-06
0.0028626,1.92e-06
0.0028628,1.8e-06
0.002863,1.8e-06
0.0028632,1.74e-06
0.0028634,1.74e-06
0.0028636,1.56e-06
0.0028638,1.62e-06
0.002864,1.56e-06
0.0028642,1.44e-06
0.0028644,1.38e-06
0.0028646,1.32e-06
0.0028648,1.32e-06
0.002865,1.26e-06
0.0028652,1.14e-06
0.0028654,1.08e-06
0.0028656,1.14e-06
0.0028658,1.14e-06
0.002866,1.14e-06
0.0028662,1.08e-06
0.0028664,9.6e-07
0.0028666,9.00000000000001e-07
0.0028668,9.00000000000001e-07
0.002867,9.6e-07
0.0028672,1.2e-06
0.0028674,1.02e-06
0.0028676,1.2e-06
0.0028678,1.38e-06
0.002868,1.38e-06
0.0028682,1.62e-06
0.0028684,1.68e-06
0.0028686,1.74e-06
0.0028688,1.86e-06
0.002869,1.74e-06
0.0028692,1.92e-06
0.0028694,1.98e-06
0.0028696,1.98e-06
0.0028698,2.04e-06
0.00287,2.04e-06
0.0028702,2.16e-06
0.0028704,2.1e-06
0.0028706,2.16e-06
0.0028708,2.16e-06
0.002871,2.16e-06
0.0028712,2.16e-06
0.0028714,2.1e-06
0.0028716,1.98e-06
0.0028718,1.98e-06
0.002872,1.98e-06
0.0028722,1.86e-06
0.0028724,1.74e-06
0.0028726,1.68e-06
0.0028728,1.68e-06
0.002873,1.62e-06
0.0028732,1.56e-06
0.0028734,1.44e-06
0.0028736,1.32e-06
0.0028738,1.26e-06
0.002874,1.32e-06
0.0028742,1.26e-06
0.0028744,1.08e-06
0.0028746,1.14e-06
0.0028748,1.08e-06
0.002875,1.02e-06
0.0028752,1.08e-06
0.0028754,1.02e-06
0.0028756,9.6e-07
0.0028758,9.6e-07
0.002876,1.02e-06
0.0028762,1.26e-06
0.0028764,1.26e-06
0.0028766,1.32e-06
0.0028768,1.38e-06
0.002877,1.56e-06
0.0028772,1.56e-06
0.0028774,1.68e-06
0.0028776,1.68e-06
0.0028778,1.8e-06
0.002878,1.74e-06
0.0028782,1.92e-06
0.0028784,1.92e-06
0.0028786,1.92e-06
0.0028788,2.04e-06
0.002879,2.04e-06
0.0028792,2.16e-06
0.0028794,2.16e-06
0.0028796,2.22e-06
0.0028798,2.22e-06
0.00288,2.16e-06
0.0028802,2.16e-06
0.0028804,2.16e-06
0.0028806,2.04e-06
0.0028808,2.04e-06
0.002881,1.98e-06
0.0028812,1.86e-06
0.0028814,1.92e-06
0.0028816,1.74e-06
0.0028818,1.68e-06
0.002882,1.62e-06
0.0028822,1.5e-06
0.0028824,1.56e-06
0.0028826,1.5e-06
0.0028828,1.38e-06
0.002883,1.38e-06
0.0028832,1.38e-06
0.0028834,1.26e-06
0.0028836,1.2e-06
0.0028838,1.26e-06
0.002884,1.2e-06
0.0028842,1.14e-06
0.0028844,9.6e-07
0.0028846,1.02e-06
0.0028848,1.02e-06
0.002885,1.02e-06
0.0028852,9.6e-07
0.0028854,1.08e-06
0.0028856,1.14e-06
0.0028858,1.38e-06
0.002886,1.44e-06
0.0028862,1.5e-06
0.0028864,1.62e-06
0.0028866,1.68e-06
0.0028868,1.74e-06
0.002887,1.98e-06
0.0028872,1.98e-06
0.0028874,2.1e-06
0.0028876,2.16e-06
0.0028878,2.1e-06
0.002888,2.1e-06
0.0028882,2.16e-06
0.0028884,2.22e-06
0.0028886,2.22e-06
0.0028888,2.22e-06
0.002889,2.28e-06
0.0028892,2.22e-06
0.0028894,2.16e-06
0.0028896,2.22e-06
0.0028898,2.16e-06
0.00289,2.16e-06
0.0028902,2.04e-06
0.0028904,1.92e-06
0.0028906,2.04e-06
0.0028908,1.92e-06
0.002891,1.92e-06
0.0028912,1.74e-06
0.0028914,1.68e-06
0.0028916,1.68e-06
0.0028918,1.62e-06
0.002892,1.44e-06
0.0028922,1.44e-06
0.0028924,1.38e-06
0.0028926,1.38e-06
0.0028928,1.38e-06
0.002893,1.32e-06
0.0028932,1.2e-06
0.0028934,1.2e-06
0.0028936,1.14e-06
0.0028938,1.02e-06
0.002894,1.02e-06
0.0028942,1.08e-06
0.0028944,1.02e-06
0.0028946,9.6e-07
0.0028948,1.08e-06
0.002895,1.26e-06
0.0028952,1.08e-06
0.0028954,1.26e-06
0.0028956,1.32e-06
0.0028958,1.5e-06
0.002896,1.62e-06
0.0028962,1.86e-06
0.0028964,1.92e-06
0.0028966,1.98e-06
0.0028968,1.98e-06
0.002897,1.98e-06
0.0028972,2.22e-06
0.0028974,2.22e-06
0.0028976,2.28e-06
0.0028978,2.22e-06
0.002898,2.28e-06
0.0028982,2.28e-06
0.0028984,2.28e-06
0.0028986,2.28e-06
0.0028988,2.22e-06
0.002899,2.16e-06
0.0028992,2.22e-06
0.0028994,1.98e-06
0.0028996,2.04e-06
0.0028998,1.98e-06
0.0029,1.92e-06
0.0029002,1.86e-06
0.0029004,1.86e-06
0.0029006,1.68e-06
0.0029008,1.68e-06
0.002901,1.56e-06
0.0029012,1.68e-06
0.0029014,1.56e-06
0.0029016,1.44e-06
0.0029018,1.38e-06
0.002902,1.32e-06
0.0029022,1.26e-06
0.0029024,1.32e-06
0.0029026,1.26e-06
0.0029028,1.14e-06
0.002903,1.2e-06
0.0029032,1.14e-06
0.0029034,1.08e-06
0.0029036,1.02e-06
0.0029038,1.08e-06
0.002904,1.08e-06
0.0029042,1.14e-06
0.0029044,1.38e-06
0.0029046,1.32e-06
0.0029048,1.44e-06
0.002905,1.38e-06
0.0029052,1.56e-06
0.0029054,1.74e-06
0.0029056,1.98e-06
0.0029058,1.86e-06
0.002906,1.98e-06
0.0029062,2.1e-06
0.0029064,2.1e-06
0.0029066,2.16e-06
0.0029068,2.22e-06
0.002907,2.22e-06
0.0029072,2.28e-06
0.0029074,2.34e-06
0.0029076,2.34e-06
0.0029078,2.34e-06
0.002908,2.28e-06
0.0029082,2.28e-06
0.0029084,2.22e-06
0.0029086,2.16e-06
0.0029088,2.1e-06
0.002909,2.1e-06
0.0029092,1.92e-06
0.0029094,1.98e-06
0.0029096,1.98e-06
0.0029098,1.92e-06
0.00291,1.86e-06
0.0029102,1.8e-06
0.0029104,1.68e-06
0.0029106,1.62e-06
0.0029108,1.56e-06
0.002911,1.56e-06
0.0029112,1.44e-06
0.0029114,1.38e-06
0.0029116,1.44e-06
0.0029118,1.32e-06
0.002912,1.32e-06
0.0029122,1.2e-06
0.0029124,1.26e-06
0.0029126,1.08e-06
0.0029128,1.14e-06
0.002913,1.08e-06
0.0029132,1.2e-06
0.0029134,1.08e-06
0.0029136,1.08e-06
0.0029138,1.5e-06
0.002914,1.38e-06
0.0029142,1.32e-06
0.0029144,1.56e-06
0.0029146,1.14e-06
0.0029148,1.44e-06
0.002915,1.62e-06
0.0029152,1.74e-06
0.0029154,1.56e-06
0.0029156,1.62e-06
0.0029158,1.8e-06
0.002916,2.04e-06
0.0029162,2.04e-06
0.0029164,2.04e-06
0.0029166,2.22e-06
0.0029168,2.34e-06
0.002917,2.4e-06
0.0029172,2.34e-06
0.0029174,2.34e-06
0.0029176,2.34e-06
0.0029178,2.34e-06
0.002918,2.34e-06
0.0029182,2.4e-06
0.0029184,2.4e-06
0.0029186,2.34e-06
0.0029188,2.28e-06
0.002919,2.16e-06
0.0029192,2.22e-06
0.0029194,2.1e-06
0.0029196,2.04e-06
0.0029198,2.04e-06
0.00292,1.86e-06
0.0029202,1.8e-06
0.0029204,1.74e-06
0.0029206,1.86e-06
0.0029208,1.68e-06
0.002921,1.62e-06
0.0029212,1.56e-06
0.0029214,1.5e-06
0.0029216,1.44e-06
0.0029218,1.38e-06
0.002922,1.44e-06
0.0029222,1.32e-06
0.0029224,1.38e-06
0.0029226,1.2e-06
0.0029228,1.2e-06
0.002923,1.2e-06
0.0029232,1.08e-06
0.0029234,1.08e-06
0.0029236,1.02e-06
0.0029238,1.08e-06
0.002924,1.2e-06
0.0029242,1.14e-06
0.0029244,1.5e-06
0.0029246,1.56e-06
0.0029248,1.62e-06
0.002925,1.86e-06
0.0029252,1.68e-06
0.0029254,1.92e-06
0.0029256,2.04e-06
0.0029258,2.16e-06
0.002926,2.28e-06
0.0029262,2.22e-06
0.0029264,2.28e-06
0.0029266,2.4e-06
0.0029268,2.34e-06
0.002927,2.46e-06
0.0029272,2.4e-06
0.0029274,2.4e-06
0.0029276,2.4e-06
0.0029278,2.34e-06
0.002928,2.22e-06
0.0029282,2.28e-06
0.0029284,2.22e-06
0.0029286,2.16e-06
0.0029288,1.98e-06
0.002929,2.04e-06
0.0029292,1.92e-06
0.0029294,1.92e-06
0.0029296,1.98e-06
0.0029298,1.74e-06
0.00293,1.74e-06
0.0029302,1.68e-06
0.0029304,1.56e-06
0.0029306,1.56e-06
0.0029308,1.56e-06
0.002931,1.5e-06
0.0029312,1.44e-06
0.0029314,1.38e-06
0.0029316,1.26e-06
0.0029318,1.26e-06
0.002932,1.26e-06
0.0029322,1.2e-06
0.0029324,1.14e-06
0.0029326,1.08e-06
0.0029328,1.08e-06
0.002933,1.08e-06
0.0029332,1.2e-06
0.0029334,1.2e-06
0.0029336,1.38e-06
0.0029338,1.5e-06
0.002934,1.56e-06
0.0029342,1.62e-06
0.0029344,1.92e-06
0.0029346,1.98e-06
0.0029348,2.1e-06
0.002935,2.16e-06
0.0029352,2.16e-06
0.0029354,2.1e-06
0.0029356,2.22e-06
0.0029358,2.28e-06
0.002936,2.4e-06
0.0029362,2.46e-06
0.0029364,2.46e-06
0.0029366,2.46e-06
0.0029368,2.46e-06
0.002937,2.46e-06
0.0029372,2.46e-06
0.0029374,2.46e-06
0.0029376,2.34e-06
0.0029378,2.34e-06
0.002938,2.22e-06
0.0029382,2.28e-06
0.0029384,2.28e-06
0.0029386,2.04e-06
0.0029388,1.98e-06
0.002939,1.98e-06
0.0029392,1.8e-06
0.0029394,1.86e-06
0.0029396,1.74e-06
0.0029398,1.62e-06
0.00294,1.56e-06
0.0029402,1.62e-06
0.0029404,1.44e-06
0.0029406,1.44e-06
0.0029408,1.44e-06
0.002941,1.38e-06
0.0029412,1.32e-06
0.0029414,1.26e-06
0.0029416,1.2e-06
0.0029418,1.2e-06
0.002942,1.2e-06
0.0029422,1.08e-06
0.0029424,1.08e-06
0.0029426,1.08e-06
0.0029428,1.26e-06
0.002943,1.44e-06
0.0029432,1.5e-06
0.0029434,1.44e-06
0.0029436,1.38e-06
0.0029438,1.26e-06
0.002944,1.26e-06
0.0029442,1.26e-06
0.0029444,1.44e-06
0.0029446,1.68e-06
0.0029448,1.68e-06
0.002945,1.86e-06
0.0029452,1.8e-06
0.0029454,2.04e-06
0.0029456,2.1e-06
0.0029458,2.16e-06
0.002946,2.34e-06
0.0029462,2.34e-06
0.0029464,2.4e-06
0.0029466,2.34e-06
0.0029468,2.4e-06
0.002947,2.46e-06
0.0029472,2.46e-06
0.0029474,2.46e-06
0.0029476,2.46e-06
0.0029478,2.4e-06
0.002948,2.34e-06
0.0029482,2.28e-06
0.0029484,2.28e-06
0.0029486,2.16e-06
0.0029488,2.16e-06
0.002949,2.16e-06
0.0029492,2.04e-06
0.0029494,1.98e-06
0.0029496,1.98e-06
0.0029498,1.92e-06
0.00295,1.74e-06
